"序号","项目编号","货号","检测服务产品名称/检测内容","签收要求","审核要求","流转要求","流转数量","备注"
"1","RSPM2025033","LK291","OncoScreen® Plus组织版","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、温控要求：0℃~30℃","路径a","≤10张","/"
"2","RSPM2025001","LK294","OncoScreen® Plus CDx组织版","1、由实验室贴M码
2、申请单研究编号为D7080C00001","一、切片：
N＞15张，合格需反馈
N＜10张，不合格
二、样本/申请单受试者筛选号（E-code）/研究编号不一致，反馈并暂停","路径a","≤15张","/"
"3","RSPM2025018","LK291","OncoScreen® Plus组织版","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
N＜8张，不合格
手术切片：
N＜2张，不合格
二、组织样本共用要求：LK291和LK361共用1张HE片，使用LK361的白片制备HE","1、受试者无既往报告，前瞻性检测：路径a
2、受试者既往报告符合方案要求，回顾性检测：暂存等通知","≤10张","/"
"4","RSPM2025017","LK101","燃石朗克®组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","1、到位即检：路径a
2、批量送检：暂存等通知","≤10张","/"
"5","RSPM2025017","LK167","燃石朗清®血浆版","/","全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格","1、到位即检：路径a
2、批量送检：暂存等通知","/","/"
"6","RSPM2024066","LK291","OncoScreen® Plus组织版","由实验室贴M码","切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a（申办方要求的暂存情况除外）","≤10张","/"
"7","RSPM2025019","LK101","燃石朗克®组织版","/","切片：
穿刺切片：
N＜6张，不合格
手术切片：
N＜4张，不合格","路径a","1、穿刺切片：6张
2、手术切片：4张","/"
"8","RSPM2024061","LK101","燃石朗克®组织版","/","切片：
N＞20张，不合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","筛选期：路径a","≤20张","/"
"9","RSPM2024061","LK165","燃石朗克®血浆版","筛选期送检两管血，未贴条码的一管贴临时标签","一、全血：
2ml＜M＜6ml，警戒
M≤2ml，不合格
二、非外部贴码样本申请单“是否生成报告”勾选为是，但系统默认录入为否，无需反馈","1、筛选期（C1D1给药前），外部贴码：路径a
2、其余访视节点，非外部贴码：暂存等通知","/","/"
"10","RSPM2024050","LK309","OncoScreen® Plus组织版","/","一、切片：
N＞15张，合格需反馈
穿刺切片：
5张＜N＜10张，警戒
N≤5张，不合格
手术切片：
2张＜N＜6张，警戒
N≤2张，不合格
二、暂存要求：2℃~8℃","路径a","1、穿刺切片：10张
2、手术切片：6张","/"
"11","RSPM2025004","LK291","OncoScreen® Plus组织版","/","一、切片：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格
二、温控要求：0℃~30℃","路径a","≤10张","/"
"12","RSPM2025004","LK292","OncoCompass® Plus血浆版","/","一、全血：
N＞1管，不合格（分别贴标，按单管分离）
2ml＜M＜6ml，警戒
M≤2ml，不合格
二、温控要求：15℃~25℃","路径a","/","/"
"13","RSPM2024070","LK101","燃石朗克®组织版","/","一、切片：
N＞10张，不合格
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"14","RSPM2024070","LK167","燃石朗清®血浆版","/","一、全血：
M＜6ml，不合格
二、温控要求：15℃~25℃","路径a","/","/"
"15","RSPM2024022","LK290","OncoScreen® Plus遗传版","/","全血：
M＜0.2ml，不合格","路径a","/","/"
"16","RSPM2024065","LK190","燃石朗清® Pro CDx血浆版","/","一、全血：
M＜5ml，不合格
二、如有以下情况，反馈并暂停：
（1）全血温控要求：6℃~30℃；血浆温控要求：-20℃以下
（2）样本寄送未加温控，需反馈
（3）接收及运输的温度范围外，需反馈。","路径a","/","/"
"17","RSPM2024057","LK262","燃石朗克® CDx组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
N＜5张，不合格
手术切片：
N＜2张，不合格","路径a","≤10张","/"
"18","RSPS2023006","LK305","OncoScreen® ParpMatch Pro CDx组织版","1、由实验室贴M码
2、查询微文档是否有指定M码","一、切片：
N含空白玻片或HE片，反馈并暂停
N＞15张，不合格，反馈后流转
穿刺切片：
N＜15张，不合格
手术切片：
N＜10张，不合格
二、样本上受试者筛选号（E-code）和样本标记信息（AccessionNo.）两者任一缺少，反馈并暂停
三、申请单审核如有以下情况，反馈并暂停：
（1）申请单预打印信息出现手动修改，包括样本标记信息（AccessionNo.和E-code码）、研究编号、医院联系人
（2）样本随附申请单非原件
（3）切片厚度非4、5μm
（4）取材部位为Breast，Tumortype勾选项非Primary
（5）取材部位非Breast，Tumortype勾选项非Metastatic","路径a","1、穿刺切片：15张
2、手术切片：≤15张","/"
"19","RSPM2024048","LK309","OncoScreen® Plus组织版","/","切片（N含HE片）：
N＞10张，合格需反馈
穿刺切片：
5张＜N＜8张，警戒
N≤5张，不合格
手术切片：
N≤2张，不合格","路径a","≤10张","/"
"20","RSPM2024048","LK292","OncoCompass® Plus血浆版","/","全血：
2ml/管＜M＜6ml/管，警戒
M≤2ml/管，不合格","路径a","/","/"
